"Unnamed: 0","article_id","tweet_id","retweet_id","retweet_count","retweet_created_at","retweet_user_id","is_quote_status","cold_user","test"
0,"politifact13013",771417626513772544,771420531291787264,1,"2016-09-01 18:52:41+00:00",49053573,0.0,0,0
1,"politifact13013",771130571489550336,771130907533139973,1,"2016-08-31 23:41:49+00:00",2935416411,0.0,1,0
2,"politifact13013",773849741524344832,773871933574279168,1,"2016-09-08 13:13:41+00:00",862238221,0.0,1,0
3,"politifact13013",771316782934155264,771585933787340800,1,"2016-09-02 05:49:56+00:00",318417786,0.0,1,0
4,"politifact13013",771078878529892353,771079225751339009,1,"2016-08-31 20:16:28+00:00",2611772656,0.0,1,0
5,"politifact10209",136114765121593344,136130274969927681,7,"2011-11-14 17:16:01+00:00",22901156,0.0,1,0
6,"politifact10209",136114765121593344,136122671963439104,7,"2011-11-14 16:45:48+00:00",110235690,0.0,1,0
7,"politifact10209",136114765121593344,136121039179628544,7,"2011-11-14 16:39:19+00:00",339270636,0.0,0,0
8,"politifact10209",136114765121593344,136116374534754305,7,"2011-11-14 16:20:47+00:00",45252286,0.0,1,0
9,"politifact10209",136114765121593344,136115221726117888,7,"2011-11-14 16:16:12+00:00",40308047,0.0,1,0
10,"politifact10209",403183659127029760,403648494184849408,25,"2013-11-21 22:17:55+00:00",248683316,0.0,1,0
11,"politifact10209",403183659127029760,403343212808388608,25,"2013-11-21 02:04:50+00:00",15934187,0.0,1,0
12,"politifact10209",403183659127029760,403336027231629312,25,"2013-11-21 01:36:17+00:00",569035462,0.0,1,0
13,"politifact10209",403183659127029760,403220705376223233,25,"2013-11-20 17:58:02+00:00",351124183,0.0,1,0
14,"politifact10209",403183659127029760,403205160794484736,25,"2013-11-20 16:56:16+00:00",505575001,0.0,1,0
15,"politifact10209",403183659127029760,403204677858500608,25,"2013-11-20 16:54:21+00:00",838962740,0.0,1,0
16,"politifact10209",403183659127029760,403198091081154560,25,"2013-11-20 16:28:10+00:00",396988987,0.0,1,0
17,"politifact10209",403183659127029760,403188374368165888,25,"2013-11-20 15:49:34+00:00",25598396,0.0,1,0
18,"politifact10209",403183659127029760,403188080976609280,25,"2013-11-20 15:48:24+00:00",35867454,0.0,1,0
19,"politifact10209",403183659127029760,403187790004756480,25,"2013-11-20 15:47:14+00:00",545474475,0.0,0,0
20,"politifact10209",403183659127029760,403187147814875136,25,"2013-11-20 15:44:41+00:00",90196581,0.0,1,0
21,"politifact10209",403183659127029760,403187104005373952,25,"2013-11-20 15:44:31+00:00",618587448,0.0,1,0
22,"politifact10209",403183659127029760,403187103929876480,25,"2013-11-20 15:44:31+00:00",237994971,0.0,1,0
23,"politifact10209",403183659127029760,403187103921487872,25,"2013-11-20 15:44:31+00:00",245385426,0.0,1,0
24,"politifact10209",403183659127029760,403187103896313857,25,"2013-11-20 15:44:31+00:00",461803364,0.0,1,0
25,"politifact10209",403183659127029760,403187103648858113,25,"2013-11-20 15:44:31+00:00",185622716,0.0,1,0
26,"politifact10209",403183659127029760,403186500235710464,25,"2013-11-20 15:42:07+00:00",60064891,0.0,1,0
27,"politifact10209",403183659127029760,403185109932572673,25,"2013-11-20 15:36:35+00:00",50370358,0.0,1,0
28,"politifact10209",403183659127029760,403185060251049984,25,"2013-11-20 15:36:23+00:00",15182798,0.0,0,0
29,"politifact10209",403183659127029760,403184935206281217,25,"2013-11-20 15:35:54+00:00",263810192,0.0,1,0
30,"politifact10209",403183659127029760,403184661817753600,25,"2013-11-20 15:34:48+00:00",384805117,0.0,1,0
31,"politifact10209",403183659127029760,403184331143000064,25,"2013-11-20 15:33:30+00:00",289457956,0.0,1,0
32,"politifact10209",403183659127029760,403184327892434944,25,"2013-11-20 15:33:29+00:00",53257678,0.0,1,0
33,"politifact10209",403183659127029760,403184209650806784,25,"2013-11-20 15:33:01+00:00",97474887,0.0,1,0
35,"politifact10209",829083233396617222,829710804706488320,58,"2017-02-09 15:17:25+00:00",220685967,0.0,1,0
36,"politifact10209",829083233396617222,829341109788741633,58,"2017-02-08 14:48:23+00:00",37963733,0.0,1,0
37,"politifact10209",829083233396617222,829340269850009601,58,"2017-02-08 14:45:03+00:00",129949447,0.0,1,0
38,"politifact10209",829083233396617222,829330039728652288,58,"2017-02-08 14:04:24+00:00",798189278350032896,0.0,1,0
39,"politifact10209",829083233396617222,829315235488096258,58,"2017-02-08 13:05:34+00:00",132125175,0.0,1,0
40,"politifact10209",829083233396617222,829314728992325632,58,"2017-02-08 13:03:33+00:00",491748291,0.0,0,0
41,"politifact10209",829083233396617222,829313146993176577,58,"2017-02-08 12:57:16+00:00",2809136799,0.0,1,0
42,"politifact10209",829083233396617222,829308266513567748,58,"2017-02-08 12:37:53+00:00",765211201324187648,0.0,1,0
43,"politifact10209",829083233396617222,829300424549265408,58,"2017-02-08 12:06:43+00:00",2261410631,0.0,1,0
44,"politifact10209",829083233396617222,829297289436999683,58,"2017-02-08 11:54:16+00:00",565473774,0.0,1,0
45,"politifact10209",829083233396617222,829258095553560576,58,"2017-02-08 09:18:31+00:00",1416236731,0.0,1,0
46,"politifact10209",829083233396617222,829190269128028161,58,"2017-02-08 04:49:00+00:00",782413746337484801,0.0,1,0
47,"politifact10209",829083233396617222,829188957825093636,58,"2017-02-08 04:43:47+00:00",2416989320,0.0,1,0
48,"politifact10209",829083233396617222,829147170745905152,58,"2017-02-08 01:57:44+00:00",626539462,0.0,1,0
49,"politifact10209",829083233396617222,829145829843693571,58,"2017-02-08 01:52:25+00:00",538054294,0.0,1,0
50,"politifact10209",829083233396617222,829138988107780096,58,"2017-02-08 01:25:14+00:00",1476028855,0.0,1,0
51,"politifact10209",829083233396617222,829138594593927168,58,"2017-02-08 01:23:40+00:00",781555354207416321,0.0,1,0
52,"politifact10209",829083233396617222,829136554979385344,58,"2017-02-08 01:15:33+00:00",703955439269109760,0.0,1,0
53,"politifact10209",829083233396617222,829136244772712448,58,"2017-02-08 01:14:20+00:00",495309121,0.0,1,0
54,"politifact10209",829083233396617222,829136226233901056,58,"2017-02-08 01:14:15+00:00",21684265,0.0,1,0
55,"politifact10209",829083233396617222,829120302290440192,58,"2017-02-08 00:10:59+00:00",767374930505715712,0.0,1,0
56,"politifact10209",829083233396617222,829111720358584325,58,"2017-02-07 23:36:52+00:00",2462380267,0.0,1,0
57,"politifact10209",829083233396617222,829109681528438784,58,"2017-02-07 23:28:46+00:00",569735658,0.0,1,0
58,"politifact10209",829083233396617222,829096393436323840,58,"2017-02-07 22:35:58+00:00",196411725,0.0,1,0
59,"politifact10209",829083233396617222,829094338160373762,58,"2017-02-07 22:27:48+00:00",799289872393633792,0.0,1,0
60,"politifact10209",829083233396617222,829093399705874438,58,"2017-02-07 22:24:04+00:00",4656299774,0.0,1,0
61,"politifact10209",829083233396617222,829091732792946688,58,"2017-02-07 22:17:27+00:00",2195073912,0.0,1,0
62,"politifact10209",829083233396617222,829090942208536577,58,"2017-02-07 22:14:19+00:00",2356854715,0.0,1,0
63,"politifact10209",829083233396617222,829090457548423170,58,"2017-02-07 22:12:23+00:00",4209689632,0.0,1,0
64,"politifact10209",829083233396617222,829090335011831810,58,"2017-02-07 22:11:54+00:00",818085321153908736,0.0,1,0
65,"politifact10209",829083233396617222,829090290149507072,58,"2017-02-07 22:11:43+00:00",327004121,0.0,1,0
66,"politifact10209",829083233396617222,829088351974203394,58,"2017-02-07 22:04:01+00:00",817466405436035072,0.0,1,0
67,"politifact10209",829083233396617222,829087809705242625,58,"2017-02-07 22:01:52+00:00",2229229510,0.0,1,0
68,"politifact10209",829083233396617222,829087530662375424,58,"2017-02-07 22:00:45+00:00",746853969943724032,0.0,0,0
69,"politifact10209",829083233396617222,829087476761260032,58,"2017-02-07 22:00:32+00:00",706448439,0.0,1,0
70,"politifact10209",829083233396617222,829086860571996160,58,"2017-02-07 21:58:05+00:00",744950188557615104,0.0,1,0
71,"politifact10209",829083233396617222,829086734201798657,58,"2017-02-07 21:57:35+00:00",46255008,0.0,1,0
72,"politifact10209",829083233396617222,829086692179058690,58,"2017-02-07 21:57:25+00:00",247991761,0.0,1,0
73,"politifact10209",829083233396617222,829086145095024642,58,"2017-02-07 21:55:15+00:00",15727647,0.0,1,0
